Symbol	Cancer Molecular Genetics
PBRM1	Rec
PBX1	Dom
PCM1	Dom
PCSK7	Dom
PDE4DIP	Dom
PDGFB	Dom
PDGFRA	Dom
PDGFRB	Dom
PER1	Dom
PHF6	Rec
PHOX2B	Rec
PICALM	Dom
PIK3CA	Dom
PIK3R1	Rec
PIM1	Dom
PLAG1	Dom
PML	Dom
PMS1	Rec
PMS2	Rec
PMX1	Dom
PNUTL1	Dom
POU2AF1	Dom
POU5F1	Dom
PPARG	Dom
PPP2R1A	Dom?
PRCC	Dom
PRDM1	Rec
PRDM16	Dom
PRF1	Rec
PRKAR1A	Dom, Rec
PRO1073	Dom
PSIP2	Dom
PTCH	Rec
PTEN	Rec
PTPN11	Dom
RAB5EP	Dom
RAD51L1	Dom
RAF1	Dom
RALGDS	Dom
RANBP17	Dom
RAP1GDS1	Dom
RARA	Dom
RB1	Rec
RBM15	Dom
RECQL4	Rec
REL	Dom
RET	Dom
ROS1	Dom
RPL22	Dom
RPN1	Dom
RUNDC2A	Dom
RUNX1	Dom
RUNXBP2	Dom
SBDS	Rec
SDC4	Dom
SDH5	Rec
SDHB	Rec
SDHC	Rec
SDHD	Rec
SEPT6	Dom
SET	Dom
SETD2	Rec
SF3B1	Dom
SFPQ	Dom
SFRS3	Dom
SH3GL1	Dom
SIL	Dom
SLC34A2	Dom
SLC45A3	Dom
SMARCA4	Rec
SMARCB1	Rec
SMO	Dom
SOCS1	Rec
SOX2	Dom
SRGAP3	Dom
SRSF2	Dom
SS18	Dom
SS18L1	Dom
SSH3BP1	Dom
SSX1	Dom
SSX2	Dom
SSX4	Dom
STK11	Rec
STL	Dom
SUFU	Rec
SUZ12	Dom
SYK	Dom
TAF15	Dom
TAL1	Dom
TAL2	Dom
TCEA1	Dom
TCF1	Rec
TCF12	Dom
TCF3	Dom
TCF7L2	Dom
TCL1A	Dom
TCL6	Dom
TET2	Rec
TFE3	Dom
TFEB	Dom
TFG	Dom
TFPT	Dom
TFRC	Dom
THRAP3	Dom
TIF1	Dom
TLX1	Dom
TLX3	Dom
TMPRSS2	Dom
TNFAIP3	Rec
TNFRSF14	Rec
TNFRSF17	Dom
TNFRSF6	Rec
TOP1	Dom
TP53	Rec
TPM3	Dom
TPM4	Dom
TPR	Dom
TRA@	Dom
TRB@	Dom
TRD@	Dom
TRIM27	Dom
TRIM33	Dom
TRIP11	Dom
TSC1	Rec
TSC2	Rec
TSHR	Dom
TTL	Dom
U2AF1	Dom
USP6	Dom
VHL	Rec
VTI1A	Dom
WAS	X-linked recessive
WHSC1	Dom
WHSC1L1	Dom
WIF1	Dom
WRN	Rec
WT1	Rec
WTX	Rec
WWTR1	Dom
XPA	Rec
XPC	Rec
XPO1	Dom
YWHAE	Dom
ZNF145	Dom
ZNF198	Dom
ZNF278	Dom
ZNF331	Dom
ZNF384	Dom
ZNF521	Dom
ZNF9	Dom
ZRSR2	Rec
