,C171115D-CO31,CLONESTE0098,STE99CLONE,PD21928b3,ste0111ep4,C30913DClone12,STE0111FP4,C171115D-CO34,C171115D-LI32,PD26636b3,STE007231,PD26636b5,PD23549b9,ste01166a,ste01167f,C30913DClone10,ste01205a,PD23549b10,PD23549b5,CLONESTE0097,clone3,STE007632,C211014D16CR,STE1207A,PD23549b4,STE0105clone,C211014D12DR,PD21928b4,C171115D-LI31,clone10,PD26636b4,PD21928b5,PD26636b6,STE100CLONE,STE0106clone,STE007223,STE007212,PD21928b7,STE007612,PD21928b6,C120215D2C,STE007623,PD23549b3,ste01205f,C171115D-LI21
Signature 1,7.154933436782355,4.819012114817103,5.483842449842965,5.715226931219148,3.226530709658134,0.013952872761041013,10.155404455562717,6.428620579934004,0.3938649461708121,6.9235428450976,0.7122991086905742,9.459635820123902,6.221455162849591,2.500638595532674,2.391881790037507,0.07392237110472633,0.7625584599920221,5.577606122765072,6.062755520127871,4.934816089752924,0.0383393638322022,1.6042845319124321,0.2880256727798707,1.6270434402486165,5.55498906964408,9.245870455037016,0.07412162107062269,7.738256314325288,0.2973582892668321,0.22815152146280895,5.979175767927711,6.413626038857291,7.631149359747899,3.524132510901003,6.490034076916536,0.7186597956304119,0.7950357859487163,7.886456732627708,1.5082010870563585,6.682832393303786,0.05938347806342888,1.4753278993640244,5.761739678274146,0.8438382352558673,0.1805785563407663
Signature 2,1.2480669368386463,1.2401218062693764,4.095196140069842,2.4846930508544474,3.94568433163575,3.1905389589421027,3.035310352200368,0.9948793338803503,5.364740372078944,1.3149800245457424,0.2710733453708861,0.31933415990998587,0.5239402337363203,0.9859117495341014,1.0175967157888743,2.78535093263966,0.842153689959993,1.053489531902337,2.046269944555512,1.594436097022456,5.2130120940979,0.42721428475445283,4.713105292350038,1.1743233101422097,1.0067472017471752,2.7581368149336285,4.1282251828472045,0.9150262034661348,5.3393361944585465,5.769711027299265,0.7401243179539141,1.7028360965900364,0.7840795287418683,2.208498503419816,2.1275332019015187,0.2498214752514333,0.0,1.1054659268914497,0.39206555308491625,1.722784476268164,6.71962583384745,0.2665617282076603,1.4958756754420872,0.6017401258764686,6.365088539189052
Signature 3,2.519002514954394,0.20840365231010513,1.6274259984583095,2.4272443845573415,0.9035616087718431,0.686907001294114,0.9545496568588403,2.2821315684581056,1.4835099119692767,3.67969480685318,0.31906938693892595,6.7972551176239815,4.594593210588498,0.6625213091900496,0.8118691255258014,0.3114282532122415,0.40983285987296414,4.169550741445504,1.6742133023475418,1.245530251866762,0.11196758379062917,0.6029954562448586,1.3614799426176702,0.9272524262260885,3.9146047913523434,3.2047035226202985,1.7671895627716894,5.09861093185743,0.9245023845977806,0.5264242456562047,4.772809653860863,3.756504498804811,4.654786644445032,0.0,2.17542783754526,0.0,0.4179358225247664,4.904306549383634,0.5611229070331304,3.876527420939295,1.8799035550552567,0.3002180339913222,2.1314636272947403,0.312239968519317,1.8541179990309442
