	sample	All	nonsynonmous	TMB_All	TMB_nonsynonmous
215	TCGA-BH-A0DH-01A-11D-A099-09	49.0	35.0	0.8104939045648059	0.5789242175462899
216	TCGA-BH-A0DI-01A-21D-A12Q-09	47.0	30.0	0.7774125207050179	0.4962207578968199
217	TCGA-BH-A0DL-01A-11D-A10Y-09	57.0	40.0	0.9428194400039579	0.6616276771957599
218	TCGA-BH-A0DO-01B-11D-A12B-09	32.0	20.0	0.529302141756608	0.33081383859787994
219	TCGA-BH-A0DQ-01A-11D-A099-09	36.0	31.0	0.5954649094761839	0.5127614498267139
220	TCGA-BH-A0DT-01A-21D-A12B-09	16.0	14.0	0.264651070878304	0.23156968701851596
221	TCGA-BH-A0DV-01A-21D-A12Q-09	16.0	12.0	0.264651070878304	0.19848830315872798
222	TCGA-BH-A0DX-01A-11D-A10Y-09	69.0	49.0	1.141307743162686	0.8104939045648059
223	TCGA-BH-A0E9-01B-11D-A10Y-09	34.0	26.0	0.5623835256163959	0.43005799017724394
224	TCGA-BH-A0EA-01A-11D-A10Y-09	25.0	20.0	0.41351729824734995	0.33081383859787994
225	TCGA-BH-A0EI-01A-11D-A10Y-09	26.0	17.0	0.43005799017724394	0.28119176280819796
226	TCGA-BH-A0H3-01A-11D-A12Q-09	17.0	12.0	0.28119176280819796	0.19848830315872798
227	TCGA-BH-A0H5-01A-21D-A10Y-09	152.0	100.0	2.5141851733438876	1.6540691929893998
228	TCGA-BH-A0HA-01A-11D-A12Q-09	409.0	272.0	6.7651429993266445	4.499068204931167
229	TCGA-BH-A0HI-01A-11D-A099-09	34.0	27.0	0.5623835256163959	0.44659868210713793
230	TCGA-BH-A0HN-01A-11D-A099-09	44.0	26.0	0.7277904449153358	0.43005799017724394
231	TCGA-BH-A0HP-01A-12D-A099-09	315.0	202.0	5.210317957916609	3.3412197698385877
232	TCGA-BH-A0RX-01A-21D-A099-09	47.0	35.0	0.7774125207050179	0.5789242175462899
233	TCGA-BH-A0W3-01A-11D-A10G-09	21.0	10.0	0.34735453052777393	0.16540691929893997
234	TCGA-BH-A0W4-01A-11D-A10G-09	36.0	26.0	0.5954649094761839	0.43005799017724394
235	TCGA-BH-A0W5-01A-11D-A10G-09	29.0	23.0	0.4796800659669259	0.38043591438756197
236	TCGA-BH-A0W7-01A-11D-A10Y-09	249.0	145.0	4.118632290543605	2.3984003298346295
237	TCGA-BH-A0WA-01A-11D-A10G-09	119.0	85.0	1.9683423396573858	1.4059588140409898
238	TCGA-BH-A18F-01A-11D-A12B-09	55.0	38.0	0.9097380561441699	0.6285462933359719
239	TCGA-BH-A18G-01A-11D-A12B-09	1679.0	1054.0	27.771821750292023	17.433889294108273
240	TCGA-BH-A18H-01A-11D-A12B-09	53.0	40.0	0.8766566722843818	0.6616276771957599
241	TCGA-BH-A18I-01A-11D-A12B-09	30.0	22.0	0.4962207578968199	0.3638952224576679
242	TCGA-BH-A18J-01A-11D-A12B-09	102.0	65.0	1.6871505768491877	1.07514497544311
243	TCGA-BH-A18K-01A-11D-A12B-09	66.0	45.0	1.0916856673730038	0.7443311368452299
244	TCGA-BH-A18L-01A-32D-A12B-09	59.0	33.0	0.9759008238637459	0.5458428336865019
245	TCGA-BH-A18M-01A-11D-A12B-09	14.0	10.0	0.23156968701851596	0.16540691929893997
246	TCGA-BH-A18N-01A-11D-A12B-09	41.0	28.0	0.6781683691256539	0.4631393740370319
247	TCGA-BH-A18P-01A-11D-A12B-09	373.0	228.0	6.169678089850461	3.7712777600158316
248	TCGA-BH-A18Q-01A-12D-A12B-09	107.0	62.0	1.7698540364986577	1.0255228996534278
249	TCGA-BH-A18R-01A-11D-A12B-09	38.0	25.0	0.6285462933359719	0.41351729824734995
250	TCGA-BH-A18S-01A-11D-A12B-09	35.0	20.0	0.5789242175462899	0.33081383859787994
251	TCGA-BH-A18T-01A-11D-A12B-09	95.0	59.0	1.5713657333399298	0.9759008238637459
252	TCGA-BH-A18U-01A-21D-A12B-09	149.0	94.0	2.4645630975542057	1.5548250414100357
253	TCGA-BH-A1EO-01A-11D-A135-09	39.0	31.0	0.6450869852658659	0.5127614498267139
254	TCGA-BH-A1ET-01A-11D-A135-09	31.0	21.0	0.5127614498267139	0.34735453052777393
255	TCGA-BH-A1EU-01A-11D-A135-09	20.0	15.0	0.33081383859787994	0.24811037894840995
256	TCGA-BH-A1EV-01A-11D-A135-09	112.0	70.0	1.8525574961481277	1.1578484350925797
257	TCGA-BH-A1EW-01A-11D-A135-09	15.0	9.0	0.24811037894840995	0.14886622736904598
258	TCGA-BH-A1EX-01A-11D-A13L-09	23.0	14.0	0.38043591438756197	0.23156968701851596
259	TCGA-BH-A1EY-01A-11D-A13L-09	49.0	32.0	0.8104939045648059	0.529302141756608
260	TCGA-BH-A1F0-01A-11D-A135-09	89.0	51.0	1.4721215817605657	0.8435752884245938
261	TCGA-BH-A1F2-01A-31D-A13L-09	61.0	40.0	1.0089822077235338	0.6616276771957599
262	TCGA-BH-A1F5-01A-12D-A13L-09	47.0	33.0	0.7774125207050179	0.5458428336865019
263	TCGA-BH-A1F6-01A-11D-A13L-09	55.0	32.0	0.9097380561441699	0.529302141756608
264	TCGA-BH-A1F8-01A-11D-A13L-09	179.0	119.0	2.9607838554510257	1.9683423396573858
265	TCGA-BH-A1FG-01A-11D-A13L-09	27.0	17.0	0.44659868210713793	0.28119176280819796
266	TCGA-BH-A1FH-01A-12D-A13L-09	32.0	18.0	0.529302141756608	0.29773245473809196
267	TCGA-BH-A1FJ-01A-11D-A13L-09	36.0	18.0	0.5954649094761839	0.29773245473809196
268	TCGA-BH-A1FL-01A-11D-A13L-09	27.0	18.0	0.44659868210713793	0.29773245473809196
269	TCGA-BH-A1FM-01A-11D-A13L-09	57.0	41.0	0.9428194400039579	0.6781683691256539
270	TCGA-BH-A1FN-01A-11D-A13L-09	143.0	83.0	2.365318945974842	1.372877430181202
271	TCGA-BH-A1FR-01A-11D-A13L-09	16.0	13.0	0.264651070878304	0.21502899508862197
272	TCGA-BH-A1FU-01A-11D-A14G-09	120.0	84.0	1.9848830315872796	1.3894181221110957
273	TCGA-BH-A201-01A-11D-A14K-09	20.0	15.0	0.33081383859787994	0.24811037894840995
274	TCGA-BH-A202-01A-11D-A14K-09	31.0	22.0	0.5127614498267139	0.3638952224576679
275	TCGA-BH-A203-01A-12D-A167-09	87.0	55.0	1.4390401979007779	0.9097380561441699
276	TCGA-BH-A204-01A-11D-A159-09	53.0	33.0	0.8766566722843818	0.5458428336865019
277	TCGA-BH-A208-01A-11D-A159-09	87.0	56.0	1.4390401979007779	0.9262787480740639
278	TCGA-BH-A28Q-01A-11D-A16D-09	27.0	17.0	0.44659868210713793	0.28119176280819796
279	TCGA-BH-A2L8-01A-11D-A18P-09	563.0	372.0	9.312409556530321	6.153137397920567
280	TCGA-BH-A6R9-01A-21D-A32I-09	24.0	9.0	0.39697660631745596	0.14886622736904598
281	TCGA-BH-A8FY-01A-11D-A36J-09	56.0	33.0	0.9262787480740639	0.5458428336865019
282	TCGA-BH-A8FZ-01A-11D-A351-09	95.0	50.0	1.5713657333399298	0.8270345964946999
