	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90
Signature 1	0.9525094231504506	0.1313888631746932	0.2597938830551774	0.1570182740119414	0.4232736977693959	0.81626727287628	0.1886057737117242	0.21623371161064237	0.1045364104091043	0.12029444563594921	0.1910072264583647	0.2163077601532382	0.11694314699445238	0.3208814498394245	0.20678432596824517	0.1489864651207288	0.05418822947994207	0.16531674306328104	0.6646764050545904	0.15131383897504663	0.05974809013208138	0.020444126909934152	0.27535669184091965	0.19779022772037297	0.18706152951639846	0.12195437504217457	0.05592532414888426	0.22637805127341504	0.22573376555671726	0.383067208138461	0.16923153455038997	0.09063459453759516	0.044485711210088756	0.27766643929160206	0.28824580547629464	0.20769273606667568	0.3558798344245142	0.08187946656914637	0.08858120082764187	0.14637130816953642	0.1854425308222132	0.20600137755559164	0.07563276570593429	0.21323388232596588	0.2862227910448369	0.2199090302157647	0.22479835923290908	0.04887583923725198	0.3627077275884299	0.08491314738771198	0.20002527550582863	0.12743045453525786	0.023795677127559287	0.029903681999534422	0.19772317129879063	0.1827796579618596	0.09449986764682325	0.10330684768875688	0.1110131951031406	0.07222360519506124	0.12577895061330496	0.2261400038311964	0.24569739710771318	0.05884493400798564	0.024807848655908495	0.20810377273134223	0.14822550546818877	0.1921697918980347	0.7053139311441584	0.18429040624849224	0.26118200474250547	0.05423707992992413
Signature 2	0.2196537368456777	0.30903834042419936	0.8381053497364308	0.5132958816360397	0.9440184238723666	0.37179910828362217	0.38103240172348224	0.43145586251504786	0.2869866981348753	0.3495892543933325	0.5778730134456918	0.5685952303727347	0.16467670328849066	0.20621052495376402	0.4374597390393117	0.5954761245844017	0.1939515270580508	0.31104673235921837	0.3405193484535809	0.6111454892827377	0.14929883777227637	0.10428324075146476	0.4396908852319748	0.499038982039985	0.38944455009839707	0.33399270522501895	0.2635235413767728	0.4470094192674141	0.42284270809888186	0.714680979487869	0.5735613808781657	0.1997878016174565	0.17141339760681815	0.41165927856762774	0.538333004704508	0.5389256427903673	0.5217206814909386	0.27392649883052034	0.17790575470438394	0.4764643587546231	0.3434426843650766	0.5964801531308518	0.2656994931102202	0.5695861639603127	0.8896439643410415	0.5086205609054278	0.5289155363676823	0.15201759764199158	0.5642457459684014	0.2841761718909558	0.5300349707149391	0.34528232257993363	0.041325352900068724	0.11702691670114185	0.43731162293743764	0.40540605800086993	0.1639608145938801	0.2743078058461684	0.39593260740110764	0.17244869365664886	0.22266329048486658	0.48143280108307185	0.5977795264848446	0.14420322873837224	0.05910757734612904	0.4518923511285702	0.4864730483578449	0.3484507548548448	0.27522340311444027	0.5065221308678806	0.7214714405771467	0.16473736627731292
Signature 3	0.3731052181712783	0.06910233939226298	0.5900303655240453	0.5284803286843807	0.6464128631516852	0.4665209380918551	0.20746673798387683	0.36031057297577934	0.1930741447489668	0.14646076102666114	0.5100579980917714	0.3600072740865414	0.16157505891146712	0.2598637484007425	0.31416999408575963	0.2863059987604678	0.12887856313168106	0.29521555370909663	0.2626757955979885	0.2723707095118145	0.06810783793496519	0.0583283575529993	0.5516085603339129	0.2888421817109248	0.30581350918760525	0.18421610618489553	0.1278010481206582	0.34438430071982307	0.48627352348102104	0.48835618699306305	0.2952844547162008	0.12130479939617154	0.11891906873382672	0.5538723383956865	0.3439269217463768	0.4189396772621915	0.38169682976523145	0.20554525531543444	0.07095852376715878	0.42023037474196856	0.40967757387613746	0.2983432905894128	0.24718319769540265	0.4087449043267619	0.6216752254120916	0.2900215203350384	0.411544248345829	0.09880405583430232	0.36168559827143243	0.30062619860977524	0.33754809593229057	0.21369989583779841	0.042046889027328685	0.11923394966317187	0.3838116749228168	0.3960997364744664	0.22215675813767408	0.23454990438575904	0.3005987144631622	0.07491237422466145	0.24082906572417803	0.32640520812614987	0.3070846727536114	0.19381019964639085	0.024943104744190342	0.27931090368824935	0.2321672497537609	0.22744806544239182	0.6514386522520306	0.25910437012236875	0.5111681447193228	0.06842150466345173
